epoch,loss,val_loss
0,1.4965696334838867,1.4992132186889648
1,1.4920045137405396,1.4969592094421387
2,1.4842782020568848,1.4902479648590088
3,1.4728690385818481,1.471710443496704
4,1.4578815698623657,1.4236371517181396
5,1.438991665840149,1.3010082244873047
6,1.419492244720459,1.142906904220581
7,1.4016371965408325,1.1210410594940186
8,1.3865374326705933,1.135642647743225
9,1.3699811697006226,1.0824854373931885
10,1.3573088645935059,1.1136999130249023
11,1.3482779264450073,1.0617039203643799
12,1.3389812707901,1.0522478818893433
13,1.3279991149902344,1.0592539310455322
14,1.317062497138977,1.0350359678268433
15,1.3137810230255127,1.067304253578186
16,1.303094506263733,1.0941736698150635
17,1.2990561723709106,1.0331740379333496
18,1.2955379486083984,1.0600236654281616
19,1.2918769121170044,1.0534617900848389
20,1.287136197090149,1.0332224369049072
21,1.287462830543518,1.0190249681472778
22,1.2857224941253662,0.9992856979370117
23,1.2836906909942627,1.0082485675811768
24,1.2829904556274414,0.9934529066085815
25,1.2930891513824463,0.9847701787948608
26,1.2930721044540405,1.0030063390731812
27,1.2842838764190674,1.0546276569366455
28,1.2777185440063477,0.9672865867614746
29,1.2652831077575684,1.0049426555633545
30,1.2574939727783203,1.0435893535614014
31,1.2534111738204956,0.9904788136482239
32,1.243765950202942,1.0280472040176392
33,1.2443058490753174,1.054389238357544
34,1.2307409048080444,1.0081689357757568
35,1.2265220880508423,0.9061705470085144
36,1.2234561443328857,0.9882841110229492
37,1.2159775495529175,0.9690028429031372
38,1.20769464969635,0.9729560613632202
39,1.209227442741394,0.9615030288696289
40,1.2056459188461304,0.9500938653945923
41,1.2066543102264404,0.9613771438598633
42,1.2016125917434692,0.9631058573722839
43,1.1999938488006592,0.9494900703430176
44,1.1962798833847046,0.9336100816726685
45,1.2213724851608276,1.0075064897537231
46,1.2192615270614624,1.028761863708496
47,1.20487642288208,0.9727069139480591
48,1.2010191679000854,1.017867922782898
49,1.2001264095306396,1.0216548442840576
